Acinonyx jubatus		12.09						16.1					45.09																																														22.17																					44.87		14.04		7.28														26.35		
Spilogale putorius																			4.4					30.91															32.98																												35.19																		25.29				37.07											
Spilogale pygmaea						49.36						34.5																														22.57																		13.54														21.98		37.54		48.45									47.0													
Suricata suricatta																																																																																																				
Taxidea taxus																																																																																																				
Tremarctos ornatus																																							45.54						14.25														26.25											18.13									47.66																					
Urocyon cinereoargenteus																																																																																																				
Urocyon littoralis																			40.58																					36.02																											26.46																			43.56														
Ursus americanus																																																																																																				
Ursus arctos																																																																																																				
Ursus maritimus				16.38												15.27					45.38					23.9											17.31				42.96										42.06			35.42									1.22			14.11																16.37			3.07												37.15		41.92	
Ursus thibetanus													37.33													40.07								32.98													23.77																				12.45					37.39				27.22												10.1												
Viverra civettina		30.07		2.3		1.73		22.36		18.54	25.82	34.32			0.15	7.34		0.47	34.23	10.07		0.75	47.55		1.49		36.8	2.88	11.33	10.73	44.12		5.12		7.58		9.66	1.66		17.43	28.87	28.25	22.05	28.62	0.81	22.47	31.04		17.5	8.3	35.11		12.43	21.33	7.36				23.38	8.89				42.26	11.73	3.8	4.93	39.17		40.54	12.05		49.16	9.1	40.55	32.45	46.59		5.7		25.32		11.48	41.95	25.67			26.18		46.37		31.65	7.16	16.31				4.72	49.61	4.17
Viverra megaspila			31.5																	47.56		19.16			39.81					16.48	14.51		18.05						28.89		35.51		21.93			39.8		5.53	5.56	33.67			5.11			49.02	15.15			35.38		2.69	45.57	25.85	16.14	37.75				22.37					20.57									9.68			31.3							8.07						
Viverra tangalunga																																																											34.73																																									
Viverra zibetha																																																																																																				
Viverricula indica																																												16.42				26.48																																17.32																				
Vormela peregusna			30.7											49.7							26.88							20.07																				40.65												45.09										48.87		13.85													45.05			35.69			33.82					28.29				
Vulpes bengalensis																			34.08																																																																																	
Vulpes cana																																																																																																				
Vulpes chama																																																														30.83																																						
Vulpes corsac																																																																																																				
Vulpes ferrilata																								46.93							27.03																																																																					
Vulpes lagopus								49.32																																																																					38.01																							
Vulpes macrotis																																																																																																				
Vulpes pallida																																																																																																				
Vulpes rueppellii																																																																																																				
Vulpes velox																																																																																																				
Vulpes vulpes																																																																																																				
Vulpes zerda																																																																																49.44																				
Zalophus californianus																																																																																																				
Zalophus wollebaeki						45.53		36.48		35.34	33.13	16.27			15.7	3.14	23.57				45.71					18.56		22.11						47.57	10.85				41.41		41.12	7.68		9.33					13.72								21.09				15.78	0.16			39.11	29.22					36.99	19.01	21.75							25.25			34.7	19.29	31.91					38.12	32.14	23.01	19.8							
